target_id,name,country_resident,red,green,blue
1083,purple,us,178,120,244
639,olive,us,159,150,96
1104,hot pink,us,217,44,165
605,teal,us,0,56,59
835,mustard yellow,us,174,147,35
570,grey,gb,106,125,134
952,green,us,68,198,122
698,green,us,7,83,50
664,light teal,us,152,214,198
1103,pink,us,205,57,183
725,seafoam green,gb,53,137,110
637,red,us,178,142,109
1085,purple,gb,213,107,217
1002,hot pink,us,173,47,99
578,sage,nz,153,181,169
807,ochre,gb,140,84,14
676,maroon,us,64,1,21
1056,green,gb,52,202,56
636,peach,us,182,139,119
535,gray,us,49,49,49
535,grey,gb,49,49,49
929,violet,gb,150,104,174
1115,pink,gb,230,86,236
1016,lavender,gb,148,137,228
902,red,au,139,29,30
580,sky blue,us,159,178,185
851,cyan,us,0,163,193
805,brown,au,151,76,38
643,bluegreen,us,105,160,138
1004,pink,gb,237,106,119
877,light green,us,108,223,171
579,blue grey,us,151,181,179
869,yellow,us,228,201,89
709,purple,us,111,52,81
926,blue,us,102,118,190
717,olive,gb,150,118,48
701,dark blue,us,0,79,110
744,peach,gb,225,160,128
900,red,us,140,22,55
658,beige,us,223,199,149
1095,red,us,242,0,86
1041,,us,219,64,92
606,teal,us,0,55,66
854,light blue,ir,94,154,203
922,grass green,gb,74,138,11
683,deep purple,gb,53,9,48
835,gold,au,174,147,35
860,light purple,us,181,132,183
957,light blue,gb,54,187,244
744,peach,us,225,160,128
1107,magenta,au,252,124,255
1098,blue,nz,77,109,247
698,green,gb,7,83,50
1058,lilac,us,234,140,237
754,green,us,113,191,153
775,green,us,219,238,145
796,purple,us,82,25,78
690,brown,us,109,59,24
1097,red,us,239,31,29
770,pink,us,220,158,172
611,purple,us,64,40,67
975,green,us,152,253,137
971,yellow,us,241,235,75
739,dusty rose,us,163,105,127
777,green,us,167,247,188
1119,violet,us,99,0,194
991,red,us,177,50,43
662,green,us,165,213,177
721,olive green,us,110,131,56
1031,green,us,0,231,160
656,sand,us,238,192,169
782,cyan,us,136,248,241
764,light blue,us,163,173,216
1039,magenta,us,133,0,124
1119,purple,us,99,0,194
987,purple,gb,95,0,91
754,green,us,113,191,153
756,aquamarine,us,100,191,172
649,lilac,us,142,147,175
915,salmon,us,196,87,99
1088,pink,us,248,87,163
639,beige,us,159,150,96
652,purple,us,172,139,156
691,brown,us,105,62,17
878,light teal,us,100,223,180
699,green,us,0,84,57
1067,red,us,197,0,22
1127,violet,au,149,3,220
851,light blue,us,0,163,193
904,blue,us,0,73,141
1000,pink,au,161,55,126
1120,purple,us,134,86,255
1025,gold,us,250,194,14
826,pink,us,210,124,128
968,pink,au,247,144,171
902,red,us,139,29,30
917,orange,gb,197,89,74
756,blue,us,100,191,172
1031,turquoise,au,0,231,160
1033,navy blue,gb,31,0,101
769,pink,us,217,159,178
749,mustard,us,189,177,93
782,light blue,gb,136,248,241
624,green,gb,49,106,97
736,lavender,us,139,112,154
686,red,us,117,51,60
626,turquoise,us,48,105,116
707,violet,gb,97,57,100
536,gray,us,72,72,72
1084,bright pink,gb,194,115,233
666,baby blue,us,153,212,218
553,dark brown,us,43,22,33
812,green,us,0,113,63
642,green,us,114,159,127
694,green,gb,83,72,0
864,dark pink,us,205,125,145
1074,pink,us,178,21,136
896,purple,gb,40,7,78
715,grey,au,166,110,70
1090,green,us,49,233,55
1061,light green,gb,161,254,46
945,yellow,us,205,173,17
1054,magenta,us,213,65,122
773,yellow,us,244,231,139
1106,pink,us,234,17,124
912,magenta,us,131,29,88
1124,purple,us,222,0,197
629,blue,us,91,95,125
954,teal,us,0,199,152
937,pink,au,255,143,137
1039,purple,us,133,0,124
848,blue green,us,0,167,167
695,green,us,68,77,0
1130,blue,us,61,0,225
1003,pink,gb,234,107,132
1014,sky blue,us,72,152,235
782,mint,gb,136,248,241
967,pink,nz,243,145,181
1120,purple,gb,134,86,255
744,orange,us,225,160,128
1118,blue,us,55,32,206
820,purple,us,128,79,132
859,light purple,us,170,135,191
830,peach,us,209,129,87
1093,purple,gb,112,7,165
568,teal,us,104,128,118
627,steel blue,us,59,102,121
809,forest green,nz,79,106,0
561,blue,us,69,71,88
680,dark purple,us,41,16,58
704,indigo,us,62,68,115
1106,pink,us,234,17,124
721,green,us,110,131,56
754,green,gb,113,191,153
1107,hot pink,gb,252,124,255
857,lavender,gb,148,142,200
827,pink,us,211,124,120
653,pink,gb,178,138,147
632,mauve,au,121,86,107
612,purple,us,70,39,60
1102,purple,us,192,68,198
1046,blue,us,90,115,218
715,burnt orange,us,166,110,70
625,teal,us,46,106,107
716,brown,us,162,112,62
659,beige,us,212,203,145
571,gray,us,119,122,136
927,purple,us,124,112,186
879,teal,us,93,223,189
691,brown,us,105,62,17
621,olive,au,79,104,64
533,black,us,0,0,0
693,olive,us,89,70,0
705,purple,gb,84,62,109
699,green,gb,0,84,57
560,black,us,55,75,85
888,blue,gb,199,194,255
577,grey,us,165,180,154
670,lilac,us,206,197,225
575,beige,gb,191,172,154
1093,purple,gb,112,7,165
583,off white,us,188,171,174
667,pale blue,us,163,209,225
1083,purple,us,178,120,244
984,purple,gb,75,18,108
572,purple,gb,130,119,131
722,olive green,us,96,133,69
733,blue,us,97,124,164
1127,purple,us,149,3,220
1123,magenta,us,207,33,215
988,red,gb,176,45,86
666,light blue,gb,153,212,218
750,green,us,173,181,97
638,tan,us,169,146,100
901,red,us,140,24,42
854,sky blue,us,94,154,203
823,blush pink,us,148,70,106
862,pink,us,195,128,166
987,plum,us,95,0,91
697,forest green,au,45,81,26
880,cyan,us,86,223,197
906,blue,us,78,58,135
1138,magenta,us,0,0,0
816,purple,us,82,93,151
602,green,us,21,56,38
1060,pink,us,255,131,206
953,green,au,28,199,142
694,moss,gb,83,72,0
602,dark green,nz,21,56,38
1111,purple,us,139,44,204
852,light blue,us,47,160,198
1008,orange,gb,229,118,46
694,brown,us,83,72,0
1124,fuchsia,us,222,0,197
931,purple,us,171,96,156
941,orange,us,242,154,79
1114,magenta,us,207,100,254
897,dark purple,gb,50,0,73
690,brown,gb,109,59,24
969,yellow,us,255,228,80
937,peach,us,255,143,137
809,moss green,gb,79,106,0
1073,magenta,us,167,36,151
619,olive,gb,106,97,47
789,maroon,us,96,23,0
940,peach,gb,249,150,94
1089,hot pink,gb,255,83,147
785,burgundy,us,97,14,46
845,turquoise,us,15,168,139
754,mint,us,113,191,153
668,sky blue,us,179,205,228
990,red,gb,178,47,57
984,purple,us,75,18,108
611,eggplant,us,64,40,67
1073,purple,us,167,36,151
891,lavender,us,238,184,237
1009,orange,us,221,124,21
940,orange,gb,249,150,94
992,maroon,gb,174,56,17
1042,red,us,220,65,74
554,brown,gb,91,66,63
911,magenta,us,125,33,99
1092,purple,us,91,32,175
712,reddish brown,au,171,104,101
935,pink,us,251,143,159
1066,red,gb,199,0,45
1044,red,gb,214,76,18
666,turquoise,gb,153,212,218
756,turquoise,us,100,191,172
908,purple,gb,103,48,123
621,green,us,79,104,64
753,green,us,122,190,143
698,green,us,7,83,50
982,blue,us,36,36,122
764,blue,gb,163,173,216
923,dark green,us,42,141,47
1098,blue,gb,77,109,247
1066,red,gb,199,0,45
1028,green,gb,146,223,64
1052,pink,us,199,74,156
910,purple,us,118,39,110
539,grey,us,148,149,148
924,blue,us,29,128,191
625,sea green,us,46,106,107
831,peach,au,204,132,75
734,plava,us,111,120,164
1085,magenta,us,213,107,217
693,brown,us,89,70,0
1043,red,us,219,68,53
916,red,nz,197,88,87
677,burgundy,us,64,4,3
839,green,gb,132,159,50
754,aqua,au,113,191,153
930,purple,us,162,100,165
700,green,us,0,84,63
1056,lime green,gb,52,202,56
1082,purple,us,149,129,255
1108,blue,us,47,0,160
1012,green,us,47,171,52
748,mustard,us,196,174,94
872,green,us,200,210,92
888,periwinkle,us,199,194,255
999,purple,us,152,60,138
945,yellow,us,205,173,17
803,light brown,us,157,70,61
791,navy,us,37,43,100
994,blue,gb,72,90,177
888,lilac,us,199,194,255
870,yellow,us,219,204,86
1010,orange,us,211,130,0
739,mauve,us,163,105,127
1011,lime green,us,90,168,0
1006,orange,us,238,109,88
546,black,gb,33,28,8
912,purple,us,131,29,88
698,green,us,7,83,50
733,blue,gb,97,124,164
793,dark purple,gb,66,34,91
1053,pink,au,209,68,136
885,light blue,us,81,218,249
673,light pink,gb,231,192,199
730,cyan,us,45,133,155
1107,pink,us,252,124,255
813,blue,us,0,104,149
584,tan,us,244,225,221
613,wine,us,74,37,54
932,purple,gb,179,93,146
1081,orange,us,255,97,20
865,orange,gb,255,185,122
543,cream,gb,255,255,255
1136,yellow,gb,0,0,0
552,black,gb,37,23,40
1072,purple,us,157,45,164
851,blue,us,0,163,193
715,brown,us,166,110,70
586,white,us,235,230,196
1036,,gb,103,38,147
1050,violet,us,177,86,182
1078,pink,au,255,81,111
1070,purple,us,129,63,183
1103,magenta,us,205,57,183
816,indigo,gb,82,93,151
1112,purple,us,155,27,193
743,salmon,us,226,158,146
837,ochre,gb,157,153,30
1026,yellow,us,236,200,0
544,black,us,45,21,25
843,green,us,50,168,123
970,yellow,us,250,232,76
815,blue,us,55,98,152
853,sky blue,us,71,157,201
541,grey,gb,202,202,201
712,pink,us,171,104,101
820,mor,gb,128,79,132
763,light blue,us,149,177,216
