target_id,name,country_resident,red,green,blue
547,forest green,GB,22,31,20
535,gray,US,49,49,49
1070,purple,US,129,63,183
605,forest green,GB,0,56,59
557,forest green,US,64,75,60
553,plum,US,43,22,33
916,pink,US,197,88,87
631,purple,US,114,88,116
959,sky blue,US,120,178,249
701,dark teal,GB,0,79,110
980,blue,US,23,255,222
980,turquoise,GB,23,255,222
828,apricot,US,212,125,110
643,green,US,105,160,138
1029,green,US,110,227,99
1097,red,US,239,31,29
553,dark purple,US,43,22,33
1057,purple,US,214,148,253
649,pale blue,GB,142,147,175
721,green,US,110,131,56
802,wine,US,157,69,70
764,navy blue,AU,163,173,216
1130,blue,GB,61,0,225
858,light purple,GB,160,138,197
889,lavender,AU,212,191,255
874,lime green,NZ,166,217,117
935,salmon,US,251,143,159
759,turquoise,AU,98,188,201
606,navy,GB,0,55,66
663,light green,US,157,214,189
612,brown,US,70,39,60
568,green,GB,104,128,118
1127,lilac,GB,149,3,220
642,green,US,114,159,127
630,grape,US,104,91,122
1052,pink,GB,199,74,156
593,off white,US,241,225,228
904,blue,US,0,73,141
1083,purple,US,178,120,244
639,olive,US,159,150,96
1104,hot pink,US,217,44,165
605,teal,US,0,56,59
835,mustard yellow,US,174,147,35
570,grey,GB,106,125,134
952,green,US,68,198,122
698,green,US,7,83,50
664,light teal,US,152,214,198
1103,pink,US,205,57,183
725,seafoam green,GB,53,137,110
637,red,US,178,142,109
1085,purple,GB,213,107,217
1002,hot pink,US,173,47,99
578,sage,NZ,153,181,169
807,ochre,GB,140,84,14
676,maroon,US,64,1,21
1056,green,GB,52,202,56
636,peach,US,182,139,119
535,gray,US,49,49,49
535,grey,GB,49,49,49
929,violet,GB,150,104,174
1115,pink,GB,230,86,236
1016,lavender,GB,148,137,228
902,red,AU,139,29,30
580,sky blue,US,159,178,185
851,cyan,US,0,163,193
805,brown,AU,151,76,38
643,bluegreen,US,105,160,138
1004,pink,GB,237,106,119
877,light green,US,108,223,171
579,blue grey,US,151,181,179
869,yellow,US,228,201,89
709,purple,US,111,52,81
926,blue,US,102,118,190
717,olive,GB,150,118,48
701,dark blue,US,0,79,110
744,peach,GB,225,160,128
900,red,US,140,22,55
658,beige,US,223,199,149
1095,red,US,242,0,86
1041,,US,219,64,92
606,teal,US,0,55,66
854,light blue,IR,94,154,203
922,grass green,GB,74,138,11
683,deep purple,GB,53,9,48
835,gold,AU,174,147,35
860,light purple,US,181,132,183
957,light blue,GB,54,187,244
744,peach,US,225,160,128
1107,magenta,AU,252,124,255
1098,blue,NZ,77,109,247
698,green,GB,7,83,50
1058,lilac,US,234,140,237
754,green,US,113,191,153
775,green,US,219,238,145
796,purple,US,82,25,78
690,brown,US,109,59,24
1097,red,US,239,31,29
770,pink,US,220,158,172
611,purple,US,64,40,67
975,green,US,152,253,137
971,yellow,US,241,235,75
739,dusty rose,US,163,105,127
777,green,US,167,247,188
1119,violet,US,99,0,194
991,red,US,177,50,43
662,green,US,165,213,177
721,olive green,US,110,131,56
1031,green,US,0,231,160
656,sand,US,238,192,169
782,cyan,US,136,248,241
764,light blue,US,163,173,216
1039,magenta,US,133,0,124
1119,purple,US,99,0,194
987,purple,GB,95,0,91
754,green,US,113,191,153
756,aquamarine,US,100,191,172
649,lilac,US,142,147,175
915,salmon,US,196,87,99
1088,pink,US,248,87,163
639,beige,US,159,150,96
652,purple,US,172,139,156
691,brown,US,105,62,17
878,light teal,US,100,223,180
699,green,US,0,84,57
1067,red,US,197,0,22
1127,violet,AU,149,3,220
851,light blue,US,0,163,193
904,blue,US,0,73,141
1000,pink,AU,161,55,126
1120,purple,US,134,86,255
1025,gold,US,250,194,14
826,pink,US,210,124,128
968,pink,AU,247,144,171
902,red,US,139,29,30
917,orange,GB,197,89,74
756,blue,US,100,191,172
1031,turquoise,AU,0,231,160
1033,navy blue,GB,31,0,101
769,pink,US,217,159,178
749,mustard,US,189,177,93
782,light blue,GB,136,248,241
624,green,GB,49,106,97
736,lavender,US,139,112,154
686,red,US,117,51,60
626,turquoise,US,48,105,116
707,violet,GB,97,57,100
536,gray,US,72,72,72
1084,bright pink,GB,194,115,233
666,baby blue,US,153,212,218
553,dark brown,US,43,22,33
812,green,US,0,113,63
642,green,US,114,159,127
694,green,GB,83,72,0
864,dark pink,US,205,125,145
1074,pink,US,178,21,136
896,purple,GB,40,7,78
715,grey,AU,166,110,70
1090,green,US,49,233,55
1061,light green,GB,161,254,46
945,yellow,US,205,173,17
1054,magenta,US,213,65,122
773,yellow,US,244,231,139
1106,pink,US,234,17,124
912,magenta,US,131,29,88
1124,purple,US,222,0,197
629,blue,US,91,95,125
954,teal,US,0,199,152
937,pink,AU,255,143,137
1039,purple,US,133,0,124
848,blue green,US,0,167,167
695,green,US,68,77,0
1130,blue,US,61,0,225
1003,pink,GB,234,107,132
1014,sky blue,US,72,152,235
782,mint,GB,136,248,241
967,pink,NZ,243,145,181
1120,purple,GB,134,86,255
744,orange,US,225,160,128
1118,blue,US,55,32,206
820,purple,US,128,79,132
859,light purple,US,170,135,191
830,peach,US,209,129,87
1093,purple,GB,112,7,165
568,teal,US,104,128,118
627,steel blue,US,59,102,121
809,forest green,NZ,79,106,0
561,blue,US,69,71,88
680,dark purple,US,41,16,58
704,indigo,US,62,68,115
1106,pink,US,234,17,124
721,green,US,110,131,56
754,green,GB,113,191,153
1107,hot pink,GB,252,124,255
